season,player,salary,real_value,difference,games,status,player_hh
2020-21,Giannis Antetokounmpo,27528088.0,40035778.0,12507690.0,82.0,U,Giannis Antetokounmpo
2016-17,CJ McCollum,3219579.0,15699845.0,12480266.0,84.0,U,CJ McCollum
2005-06,Dirk Nowitzki,13843156.0,26322512.0,12479356.0,104.0,U,Dirk Nowitzki
2014-15,Damian Lillard,3340920.0,15803495.0,12462575.0,87.0,U,Damian Lillard
2002-03,Shawn Marion,2265375.0,14705507.0,12440132.0,87.0,U,Shawn Marion
2000-01,Dirk Nowitzki,1693560.0,14130053.0,12436493.0,92.0,U,Dirk Nowitzki
2006-07,Carmelo Anthony,4694041.0,17124051.0,12430010.0,70.0,U,Carmelo Anthony
2006-07,Josh Howard,1667603.0,13989168.0,12321565.0,76.0,U,Josh Howard
2001-02,Tim Duncan,10865250.0,23166457.0,12301207.0,91.0,U,Tim Duncan
2019-20,De'Aaron Fox,6392760.0,18678793.0,12286033.0,51.0,U,De'Aaron Fox
2021-22,Shai Gilgeous-Alexander,5495532.0,17745198.0,12249666.0,56.0,U,Shai Gilgeous-Alexander
2008-09,Danny Granger,2329805.0,14547051.0,12217246.0,67.0,U,Danny Granger
2014-15,Kawhi Leonard,3053368.0,15250817.0,12197449.0,71.0,U,Kawhi Leonard
2019-20,Jaylen Brown,6534829.0,18592652.0,12057823.0,74.0,U,Jaylen Brown
2020-21,Khyri Thomas,1061283.0,13106542.0,12045259.0,5.0,U,Khyri Thomas
2007-08,Brandon Roy,2883120.0,14917614.0,12034494.0,74.0,U,Brandon Roy
2021-22,Desmond Bane,2033160.0,14008709.0,11975549.0,88.0,U,Desmond Bane
2007-08,Kevin Martin,1808121.0,13757372.0,11949251.0,61.0,U,Kevin Martin
2015-16,Anthony Davis,7070730.0,18973132.0,11902402.0,61.0,U,Anthony Davis
2017-18,Donovan Mitchell,2621280.0,14520165.0,11898885.0,90.0,U,Donovan Mitchell
2020-21,Collin Sexton,4991880.0,16862060.0,11870180.0,60.0,U,Collin Sexton
2018-19,Kawhi Leonard,23114066.0,34970354.0,11856288.0,84.0,U,Kawhi Leonard
2017-18,Anthony Davis,23775506.0,35567518.0,11792012.0,84.0,U,Anthony Davis
2021-22,Miles Bridges,5421493.0,17205320.0,11783827.0,81.0,U,Miles Bridges
2021-22,Jaylen Hoard,191860.0,11925076.0,11733216.0,7.0,U,Jaylen Hoard
2002-03,Kobe Bryant,12375000.0,24097520.0,11722520.0,94.0,U,Kobe Bryant
2018-19,Malcolm Brogdon,1544951.0,13164977.0,11620026.0,71.0,U,Malcolm Brogdon
